root,root2,category,definition,1970.f,1970.s,1980.f,1980.s,1990.f,1990.s,2000.f,2000.s,2010.f,2010.s,,,,,,,,
a18und,a18und,age,persons age 17 years and under,A18UND70,,A18UND80,,A18UND90,,A18UND00,,a18und10,a18und12,,,,,,,,
a60up,a60up,age,persons age 60 years and over,A60UP70,,A60UP80,,A60UP90,,A60UP00,,a60up10,a60up12,,,,,,,,
a75up,a75up,age,persons age 75 years and over,A75UP70,,A75UP80,,A75UP90,,A75UP00,,a75up10,a75up12,,,,,,,,
ag15up,ag15up,age,"population 15 years and over (in 1970, population 14 years and over)",AG15UP70,,AG15UP80,,AG15UP90,,,AG15UP00,,ag15up12,,,,,,,,
ag16cv,ag16cv,age,"civilian population 16 years and over (in 1970, civilian males 16 years and over)",,AG16CV70,,ag16cv80,,AG16CV90,,,,,,,,,,,,
ag18cv,ag18cv,age,civilian population 18 years and over,,,,,,,,AG18CV00,,ag18cv12,,,,,,,,
ag25up,ag25up,age,population 25 years and over,,AG25UP70,,ag25up80,,AG25UP90,,AG25UP00,,ag25up12,,,,,,,,
ag5up,ag5up,age,persons 5 years and over,,,,ag5up80,,AG5UP90,,AG5UP00,,ag5up12,,,,,,,,
cni16u,cni16u,age,civilian non-institutionalized persons 16-64 years old,,CNI16U70,,cni16u80,,CNI16U90,,CNI16U00,,,,,,,,,,
p18und,p18und,age,percentage of persons age 17 years and under,,,,,,,,,,p18und12,,,,,,,,
p60up,p60up,age,percentage of persons age 60 years and over,,,,,,,,,,p60up12,,,,,,,,
p75up,p75up,age,percentage of persons age 75 years and over,,,,,,,,,,p75up12,,,,,,,,
a15asn,a15asn,age-race,"0-15 years old of Asians and Pacific Islanders (in 1980, 0-14 years old of Asians/Pacific Islanders; in 2008-12 ACS, 0-14 years old of Asian/Pacific Islander race)",,,,a15asn80,A15ASN90,,A15ASN00,,a15asn10,a15asn12,,,,,,,,
a15blk,a15blk,age-race,"0-15 years old of black race (in 1980, 0-14 years old of black race; in 2006- 10 ACS, 0-14 years old of black race)",A15BLK70,,,a15blk80,A15BLK90,,A15BLK00,,a15blk10,a15blk12,,,,,,,,
a15hsp,a15hsp,age-race,"0-15 years old, persons of Hispanic origins (in 1980, 0-14 years old, persons of Hispanic origin; in 2008-12 ACS, 0-14 years old, persons of Hispanic origins)",,,,a15hsp80,A15HSP90,,A15HSP00,,a15hsp10,a15hsp12,,,,,,,,
a15ntv,a15ntv,age-race,"0-15 years old of Native American race (in 1980, 0-14 years old of Native American race; in 2008-12 ACS, 0-14 years old of Native American race)",,,,a15ntv80,A15NTV90,,A15NTV00,,a15ntv10,a15ntv12,,,,,,,,
a15wht,a15wht,age-race,"0-15 years old of white race (in 1980, 0-14 years old of white race; in 2006- 10 ACS, 0-14 years old of white race)",A15WHT70,,,a15wht80,A15WHT90,,A15WHT00,,a15wht10,a15wht12,,,,,,,,
a60asn,a60asn,age-race,60 years and older of Asians and Pacific Islanders,,,,a60asn80,A60ASN90,,A60ASN00,,a60asn10,,,,,,,,,
a60blk,a60blk,age-race,60 years and older of black race,A60BLK70,,,a60blk80,A60BLK90,,A60BLK00,,a60blk10,,,,,,,,,
a60hsp,a60hsp,age-race,"60 years and older, persons of Hispanic origins",,,,a60hsp80,A60HSP90,,A60HSP00,,a60hsp10,,,,,,,,,
a60ntv,a60ntv,age-race,60 years and older of Native American race,,,,a60ntv80,A60NTV90,,A60NTV00,,a60ntv10,,,,,,,,,
a60wht,a60wht,age-race,60 years and older of white race,A60WHT70,,,a60wht80,A60WHT90,,A60WHT00,,a60wht10,,,,,,,,,
a65asn,a65asn,age-race,65 years and older of Asians and Pacific Islanders,,,,,,,,,,a65asn12,,,,,,,,
a65blk,a65blk,age-race,65 years and older of black race,,,,,,,,,,a65blk12,,,,,,,,
a65hsp,a65hsp,age-race,"65 years and older, persons of Hispanic origins",,,,,,,,,,a65hsp12,,,,,,,,
a65ntv,a65ntv,age-race,65 years and older of Native American race,,,,,,,,,,a65ntv12,,,,,,,,
a65wht,a65wht,age-race,65 years and older of non-Hispanic whites,,,,,,,,,,a65wht12,,,,,,,,
ageasn,ageasn,age-race,Asian and Pacific Islander population with known age distribution,,,,ageasn80,AGEASN90,,AGEASN00,,ageasn10,ageasn12,,,,,,,,
ageblk,ageblk,age-race,black population with known age distribution,AGEBLK70,,,ageblk80,AGEBLK90,,AGEBLK00,,ageblk10,ageblk12,,,,,,,,
agehsp,agehsp,age-race,Hispanic population with known age distribution,,,,agehsp80,AGEHSP90,,AGEHSP00,,agehsp10,agehsp12,,,,,,,,
agentv,agentv,age-race,Native American population with known age distribution,,,,agentv80,AGENTV90,,AGENTV00,,agentv10,agentv12,,,,,,,,
agewht,agewht,age-race,white population with known age distribution,AGEWHT70,,,agewht80,AGEWHT90,,AGEWHT00,,agewht10,agewht12,,,,,,,,
p15asn,p15asn,age-race,"percentage of 0-15 years old of Asians and Pacific Islanders (in 1980, percentage of 0-14 years old of Asians/Pacific Islanders; in 2008-12 ACS, percentage of 0-14 years old of Asian/Pacific Islander race)",,,,,,,,,,p15asn12,,,,,,,,
p15blk,p15blk,age-race,"percentage of 0-15 years old of black race (in 1980, percentage of 0-14 years old of black race; in 2008-12 ACS, percentage of 0-14 years old of black race)",,,,,,,,,,p15blk12,,,,,,,,
p15hsp,p15hsp,age-race,"percentage of 0-15 years old, persons of Hispanic origins (in 1980, percentage of 0-14 years old, persons of Hispanic origin; in 2008-12 ACS, percentage of 0-14 years old, persons of Hispanic origins)",,,,,,,,,,p15hsp12,,,,,,,,
p15ntv,p15ntv,age-race,"percentage of 0-15 years old of Native American race (in 1980, percentage of 0-14 years old of Native American race; in 2008-12 ACS, percentage of 0-14 years old of Native American race)",,,,,,,,,,p15ntv12,,,,,,,,
p15wht,p15wht,age-race,"percentage of 0-15 years old of white race (in 1980, percentage of 0-14 years old of white race; in 2008-12 ACS, percentage of 0-14 years old of white race)",,,,,,,,,,p15wht12,,,,,,,,
